ASV_name	Kingdom	Phylum	Class	Order	Family	Genus
prok_asv15000	Bacteria	SAR324	SAR324 uc	SAR324 uc	SAR324 uc	SAR324 uc
prok_asv15001	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SM23-30	SM23-30 uc
prok_asv15002	Bacteria	Planctomycetota	Planctomycetota uc	Planctomycetota uc	Planctomycetota uc	Planctomycetota uc
prok_asv15003	Bacteria	Latescibacterota	Latescibacterota uc	Latescibacterota uc	Latescibacterota uc	Latescibacterota uc
prok_asv15004	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae uc
prok_asv15005	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	mle1-8 uc	mle1-8 uc
prok_asv15006	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20 uc	0319-6G20 uc
prok_asv15007	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
prok_asv15008	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Cand_Megaira
prok_asv15010	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas
prok_asv15011	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
prok_asv15012	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43
prok_asv15013	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales uc	Babeliales uc
prok_asv15014	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola
prok_asv15015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia
prok_asv15016	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27
prok_asv15017	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterellaceae uc
prok_asv15018	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales uc	Saccharimonadales uc
prok_asv15019	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
prok_asv15020	Bacteria	Proteobacteria	Proteobacteria uc	Proteobacteria uc	Proteobacteria uc	Proteobacteria uc
prok_asv15021	Bacteria	RCP2-54	RCP2-54 uc	RCP2-54 uc	RCP2-54 uc	RCP2-54 uc
prok_asv15022	Archaea	Thermoplasmatota	Thermoplasmatota_cl	Thermoplasmatota_or	Thermoplasmatota_fa	Thermoplasmatota_fa uc
prok_asv15023	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea
prok_asv15024	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
prok_asv15025	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005
prok_asv15026	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB
prok_asv15027	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86 uc	SAR86 uc
prok_asv15029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia
